,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType
0,2021-12-03 09:20:00,2021-12-03 09:20:00,HDFCLIFE,690.95,690.95,1,0.0,exiting buy order
1,2021-12-03 09:20:00,2021-12-03 09:20:00,SBILIFE,1165.95,1165.95,1,0.0,exiting buy order
2,2021-12-01 09:20:00,2021-12-06 09:20:00,NESTLEIND,19397.8,19016.5,1,-381.2999999999993,exiting buy order
3,2021-12-03 09:20:00,2021-12-06 09:20:00,ADANIPORTS,737.45,723.45,1,-14.0,exiting buy order
4,2021-12-03 09:20:00,2021-12-06 09:20:00,HCLTECH,1171.4,1136.55,1,-34.850000000000136,exiting buy order
5,2021-12-03 09:20:00,2021-12-06 09:20:00,INFY,1735.55,1695.3,1,-40.25,exiting buy order
6,2021-12-15 09:20:00,2021-12-15 09:20:00,WIPRO,636.4,636.4,1,0.0,exiting buy order
7,2021-12-17 09:20:00,2021-12-17 09:20:00,JSWSTEEL,660.25,660.25,1,0.0,exiting buy order
8,2021-12-30 09:20:00,2021-12-30 09:20:00,ULTRACEMCO,7397.2,7397.2,1,0.0,exiting buy order
9,2021-12-31 09:20:00,2021-12-31 09:20:00,NTPC,124.4,124.4,1,0.0,exiting buy order
10,2021-12-31 09:20:00,2021-12-31 09:20:00,POWERGRID,204.4,204.4,1,0.0,exiting buy order
11,2021-12-31 09:20:00,2021-12-31 15:30:00,HINDUNILVR,2360.15,2360.15,1,0.0,Time up
